Years,City,Value
2022,O'zbekiston Respublikasi,874.00
2022,Qoraqalpog'iston Respublikasi,21.00
2022,Andijon,17.00
2022,Buxoro,36.00
2022,Jizzax,27.00
2022,Qashqadaryo,116.00
2022,Navoiy,42.00
2022,Namangan,7.00
2022,Samarqand,39.00
2022,Surxondaryo,7.00
2022,Sirdaryo,49.00
2022,Toshkent,438.00
2022,Farg'ona,49.00
2022,Xorazm,5.00
2022,Toshkent sh.,21.00
2021,O'zbekiston Respublikasi,908.70
2021,Qoraqalpog'iston Respublikasi,31.40
2021,Andijon,4.90
2021,Buxoro,44.70
2021,Jizzax,2.90
2021,Qashqadaryo,132.30
2021,Navoiy,68.60
2021,Namangan,23.90
2021,Samarqand,39.40
2021,Surxondaryo,7.10
2021,Sirdaryo,45.70
2021,Toshkent,425.50
2021,Farg'ona,46.50
2021,Xorazm,7.20
2021,Toshkent sh.,28.60
2020,O'zbekiston Respublikasi,924.40
2020,Qoraqalpog'iston Respublikasi,28.90
2020,Andijon,11.50
2020,Buxoro,37.10
2020,Jizzax,3.40
2020,Qashqadaryo,128.10
2020,Navoiy,48.40
2020,Namangan,15.00
2020,Samarqand,52.70
2020,Surxondaryo,6.50
2020,Sirdaryo,71.80
2020,Toshkent,430.00
2020,Farg'ona,50.50
2020,Xorazm,6.80
2020,Toshkent sh.,33.70
2019,O'zbekiston Respublikasi,952.80
2019,Qoraqalpog'iston Respublikasi,37.20
2019,Andijon,14.30
2019,Buxoro,69.10
2019,Jizzax,4.30
2019,Qashqadaryo,140.40
2019,Navoiy,43.60
2019,Namangan,15.80
2019,Samarqand,44.20
2019,Surxondaryo,6.90
2019,Sirdaryo,47.80
2019,Toshkent,397.90
2019,Farg'ona,49.60
2019,Xorazm,7.20
2019,Toshkent sh.,74.50
2018,O'zbekiston Respublikasi,883.70
2018,Qoraqalpog'iston Respublikasi,34.00
2018,Andijon,15.90
2018,Buxoro,74.80
2018,Jizzax,11.80
2018,Qashqadaryo,152.20
2018,Navoiy,49.90
2018,Namangan,15.20
2018,Samarqand,52.10
2018,Surxondaryo,5.10
2018,Sirdaryo,60.50
2018,Toshkent,336.60
2018,Farg'ona,53.20
2018,Xorazm,7.10
2018,Toshkent sh.,15.30
2017,O'zbekiston Respublikasi,853.50
2017,Qoraqalpog'iston Respublikasi,37.70
2017,Andijon,15.80
2017,Buxoro,63.80
2017,Jizzax,5.20
2017,Qashqadaryo,165.70
2017,Navoiy,44.10
2017,Namangan,15.90
2017,Samarqand,37.20
2017,Surxondaryo,3.20
2017,Sirdaryo,59.60
2017,Toshkent,302.90
2017,Farg'ona,60.10
2017,Xorazm,9.20
2017,Toshkent sh.,33.10
2016,O'zbekiston Respublikasi,1008.20
2016,Qoraqalpog'iston Respublikasi,30.60
2016,Andijon,36.70
2016,Buxoro,58.50
2016,Jizzax,63.40
2016,Qashqadaryo,167.90
2016,Navoiy,57.40
2016,Namangan,15.80
2016,Samarqand,51.60
2016,Surxondaryo,3.20
2016,Sirdaryo,68.90
2016,Toshkent,318.70
2016,Farg'ona,103.20
2016,Xorazm,5.20
2016,Toshkent sh.,27.10
2015,O'zbekiston Respublikasi,975.10
2015,Qoraqalpog'iston Respublikasi,32.80
2015,Andijon,18.50
2015,Buxoro,55.60
2015,Jizzax,70.20
2015,Qashqadaryo,176.30
2015,Navoiy,47.00
2015,Namangan,7.80
2015,Samarqand,54.70
2015,Surxondaryo,3.10
2015,Sirdaryo,66.10
2015,Toshkent,370.60
2015,Farg'ona,38.90
2015,Xorazm,5.00
2015,Toshkent sh.,28.50
2014,O'zbekiston Respublikasi,1162.10
2014,Qoraqalpog'iston Respublikasi,26.70
2014,Andijon,6.60
2014,Buxoro,51.90
2014,Jizzax,37.20
2014,Qashqadaryo,171.80
2014,Navoiy,42.60
2014,Namangan,3.90
2014,Samarqand,51.30
2014,Surxondaryo,5.80
2014,Sirdaryo,69.30
2014,Toshkent,619.20
2014,Farg'ona,38.40
2014,Xorazm,6.30
2014,Toshkent sh.,31.10
2013,O'zbekiston Respublikasi,855.20
2013,Qoraqalpog'iston Respublikasi,25.80
2013,Andijon,14.40
2013,Buxoro,50.70
2013,Jizzax,17.20
2013,Qashqadaryo,167.00
2013,Navoiy,43.90
2013,Namangan,3.70
2013,Samarqand,49.10
2013,Surxondaryo,3.70
2013,Sirdaryo,35.40
2013,Toshkent,372.30
2013,Farg'ona,40.20
2013,Xorazm,6.20
2013,Toshkent sh.,25.60
2012,O'zbekiston Respublikasi,817.60
2012,Qoraqalpog'iston Respublikasi,19.50
2012,Andijon,12.20
2012,Buxoro,61.70
2012,Jizzax,14.10
2012,Qashqadaryo,163.00
2012,Navoiy,42.40
2012,Namangan,7.00
2012,Samarqand,52.80
2012,Surxondaryo,4.40
2012,Sirdaryo,46.90
2012,Toshkent,290.40
2012,Farg'ona,73.50
2012,Xorazm,4.90
2012,Toshkent sh.,24.80
2011,O'zbekiston Respublikasi,788.20
2011,Qoraqalpog'iston Respublikasi,23.50
2011,Andijon,13.60
2011,Buxoro,71.70
2011,Jizzax,17.30
2011,Qashqadaryo,142.50
2011,Navoiy,45.20
2011,Namangan,5.60
2011,Samarqand,51.80
2011,Surxondaryo,3.30
2011,Sirdaryo,58.70
2011,Toshkent,280.30
2011,Farg'ona,42.80
2011,Xorazm,4.90
2011,Toshkent sh.,27.00
