Gender,Years,Count
Erkak,2009/2010,171834
Ayol,2009/2010,114388
Erkak,2010/2011,168805
Ayol,2010/2011,105715
Erkak,2011/2012,160339
Ayol,2011/2012,92687
Erkak,2011/2012,160339
Ayol,2011/2012,92687
Erkak,2012/2013,164160
Ayol,2012/2013,94183
Erkak,2013/2014,162654
Ayol,2013/2014,96636
Erkak,2014/2015,163251
Ayol,2014/2015,98081
Erkak,2015/2016,163434
Ayol,2015/2016,100857
Erkak,2016/2017,165824
Ayol,2016/2017,102457
Erkak,2017/2018,178509
Ayol,2017/2018,119180
Erkak,2018/2019,200805
Ayol,2018/2019,159399
Erkak,2019/2020,238454
Ayol,2019/2020,202537
Erkak,2020/2021,311486
Ayol,2020/2021,260026
Erkak,2022/2023,547342
Ayol,2022/2023,494758
